episode,task,success,semantic,structural_change,state,candidate,wall_ms,cpu_ms,theta,derived,uniform
211,online_proc,1,1,0,CONVERGED,0,1.5616,0.14,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
212,online_proc,1,1,0,CONVERGED,0,2.55943,0.153,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
213,online_proc,1,1,0,CONVERGED,0,1.18821,0.148,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
214,online_proc,1,1,0,CONVERGED,0,1.40724,0.156,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
215,online_proc,1,1,0,CONVERGED,0,1.34554,0.175,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
216,online_proc,1,1,0,CONVERGED,0,3.02009,0.698,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
217,online_proc,1,1,0,CONVERGED,0,1.81633,0.209,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
218,online_proc,1,1,0,CONVERGED,0,1.66279,0.163,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
219,online_proc,1,1,0,CONVERGED,0,1.69056,0.155,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
220,online_proc,1,1,0,CONVERGED,0,2.26177,0.439,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
221,online_proc,1,1,0,CONVERGED,0,1.3581,0.178,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
222,online_proc,1,1,0,CONVERGED,0,1.21198,0.162,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
223,online_proc,1,1,0,CONVERGED,0,2.11597,0.177,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
224,online_proc,1,1,0,CONVERGED,0,1.61288,0.173,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
225,online_proc,1,1,0,CONVERGED,0,1.64089,0.252,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
226,online_proc,1,1,0,CONVERGED,0,2.21048,0.162,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
227,online_proc,1,1,0,CONVERGED,0,1.17129,0.159,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
228,online_proc,1,1,0,CONVERGED,0,1.43037,0.175,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
229,online_proc,1,1,0,CONVERGED,0,1.3576,0.153,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
230,online_proc,1,1,0,CONVERGED,0,1.36537,0.165,r=128;w=1024;s=256;sum=1;ext=0;proc=0;timer=800,11,1
231,online_timer,1,3,1,DEVELOPING,0,5.45665,0.254,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
232,online_timer,1,1,0,DEVELOPING,0,4.35398,0.42,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
233,online_timer,1,1,0,DEVELOPING,0,4.95715,0.316,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
234,online_timer,1,1,0,DESCENT,0,4.36624,0.271,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
235,online_timer,1,1,0,DESCENT,0,5.01211,0.266,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
236,online_timer,1,1,0,DESCENT,0,4.29875,0.293,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
237,online_timer,1,1,0,DESCENT,1,5.20353,0.257,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
238,online_timer,1,1,0,DESCENT,1,5.11437,0.293,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
239,online_timer,1,1,0,DESCENT,1,3.9146,0.375,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=200,11,1
240,online_timer,1,1,0,DESCENT,0,4.52168,0.347,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=200,11,1
241,online_timer,1,1,0,DESCENT,0,3.81928,0.321,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=200,11,1
242,online_timer,1,1,0,DESCENT,1,4.47644,0.257,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
243,online_timer,1,1,0,DESCENT,1,5.68198,0.531,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=50,11,1
244,online_timer,1,1,0,DESCENT,1,5.18838,0.35,r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=200,11,1
245,online_timer,1,1,0,DESCENT,1,3.95976,0.32,r=256;w=512;s=256;sum=0;ext=0;proc=0;timer=200,11,1
246,online_timer,1,1,0,DESCENT,1,4.29884,0.349,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=200,11,1
247,online_timer,1,1,0,DESCENT,1,3.96583,0.279,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=400,11,1
248,online_timer,1,1,0,DESCENT,1,3.71306,0.403,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=100,11,1
249,online_timer,1,1,0,DESCENT,0,3.65495,0.449,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=100,11,1
250,online_timer,1,1,0,DESCENT,0,3.18729,0.344,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=100,11,1
251,online_timer,1,1,0,DESCENT,1,3.6116,0.289,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=200,11,1
252,online_timer,1,1,0,DESCENT,1,3.33044,0.427,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=50,11,1
253,online_timer,1,1,0,DESCENT,0,3.61069,0.474,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=50,11,1
254,online_timer,1,1,0,DESCENT,0,4.03347,0.411,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=50,11,1
255,online_timer,1,1,0,DESCENT,1,3.62366,0.746,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=100,11,1
256,online_timer,1,1,0,DESCENT,1,3.70712,0.556,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=25,11,1
257,online_timer,1,1,0,DESCENT,1,3.33348,0.417,r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=50,11,1
258,online_timer,1,1,0,DESCENT,1,6.91959,0.512,r=256;w=512;s=256;sum=0;ext=0;proc=0;timer=50,11,1
259,online_timer,1,1,0,DESCENT,0,3.93131,0.48,r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=50,11,1
260,online_timer,1,1,0,DESCENT,0,3.74946,0.528,r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=50,11,1
261,online_timer,1,1,0,DESCENT,1,3.80996,0.622,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=50,11,1
262,online_timer,1,1,0,DESCENT,1,3.53513,0.411,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
263,online_timer,1,1,0,DESCENT,0,4.29827,0.469,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
264,online_timer,1,1,0,DESCENT,0,3.35331,0.449,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
265,online_timer,1,1,0,DESCENT,1,6.33784,0.614,r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=50,11,1
266,online_timer,1,1,0,DESCENT,1,4.63833,0.486,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=100,11,1
267,online_timer,1,1,0,DESCENT,1,4.02479,0.616,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=25,11,1
268,online_timer,1,1,0,DESCENT,1,3.78614,0.451,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=50,11,1
269,online_timer,1,1,0,DESCENT,1,4.62016,0.517,r=256;w=128;s=256;sum=0;ext=0;proc=0;timer=50,11,1
270,online_timer,1,1,0,DESCENT,1,3.91837,0.538,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=100,11,1
271,online_timer,1,1,0,DESCENT,1,5.54305,0.544,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=25,11,1
272,online_timer,1,1,0,CONVERGED,1,3.6506,0.472,r=256;w=256;s=256;sum=1;ext=0;proc=0;timer=50,11,1
273,online_timer,1,1,0,CONVERGED,0,3.04957,0.407,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
274,online_timer,1,1,0,CONVERGED,0,4.04936,0.924,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
275,online_timer,1,1,0,CONVERGED,0,3.73423,0.483,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
276,online_timer,1,1,0,CONVERGED,0,3.73073,0.476,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
277,online_timer,1,1,0,CONVERGED,0,4.45538,0.63,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
278,online_timer,1,1,0,CONVERGED,0,3.64913,0.522,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
279,online_timer,1,1,0,CONVERGED,0,4.30744,0.861,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
280,online_timer,1,1,0,CONVERGED,0,4.39152,0.534,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
281,online_timer,1,1,0,CONVERGED,0,4.46844,0.605,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
282,online_timer,1,1,0,CONVERGED,0,4.16885,0.543,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
283,online_timer,1,1,0,CONVERGED,0,4.48328,0.543,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
284,online_timer,1,1,0,CONVERGED,0,22.3608,1.226,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
285,online_timer,1,1,0,CONVERGED,0,4.29358,0.542,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
286,online_timer,1,1,0,CONVERGED,0,4.52634,0.473,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
287,online_timer,1,1,0,CONVERGED,0,3.9933,0.453,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
288,online_timer,1,1,0,CONVERGED,0,3.79119,1.496,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
289,online_timer,1,1,0,CONVERGED,0,3.4041,0.505,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
290,online_timer,1,1,0,CONVERGED,0,3.97785,0.499,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
291,online_timer,1,1,0,CONVERGED,0,3.54974,0.45,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
292,online_timer,1,1,0,CONVERGED,0,3.59786,0.4,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
293,online_timer,1,1,0,CONVERGED,0,3.60437,0.408,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
294,online_timer,1,1,0,CONVERGED,0,9.29025,0.475,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
295,online_timer,1,1,0,CONVERGED,0,3.89482,0.485,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
296,online_timer,1,1,0,CONVERGED,0,4.26033,0.478,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
297,online_timer,1,1,0,CONVERGED,0,6.8386,0.482,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
298,online_timer,1,1,0,CONVERGED,0,4.19409,0.46,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
299,online_timer,1,1,0,CONVERGED,0,8.19715,0.444,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
300,online_timer,1,1,0,CONVERGED,0,3.71214,0.437,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
301,online_timer,1,1,0,CONVERGED,0,3.52045,0.477,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
302,online_timer,1,1,0,CONVERGED,0,4.68992,0.584,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
303,online_timer,1,1,0,CONVERGED,0,3.66202,0.459,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
304,online_timer,1,1,0,CONVERGED,0,3.75834,0.403,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
305,online_timer,1,1,0,CONVERGED,0,3.34131,0.427,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
306,online_timer,1,1,0,CONVERGED,0,3.88928,0.468,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
307,online_timer,1,1,0,CONVERGED,0,3.63841,0.417,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
308,online_timer,1,1,0,CONVERGED,0,4.11732,1.194,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
309,online_timer,1,1,0,CONVERGED,0,3.83961,0.413,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
310,online_timer,1,1,0,CONVERGED,0,3.40273,0.693,r=256;w=128;s=256;sum=1;ext=0;proc=0;timer=50,11,1
